"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 23 17:27:25 GMT 2023","Thu Mar 23 17:27:37 GMT 2023","12230","","Hackathon Scenario_3","","Hackathon Scenario_3","3_LOGIN_invalid_user","3_LOGIN_invalid_user",""
"broken","Thu Mar 23 17:28:15 GMT 2023","Thu Mar 23 17:38:15 GMT 2023","600004","","Hackathon Scenario_4","","Hackathon Scenario_4","4_PRODUCT_onesie","4_PRODUCT_onesie",""
"passed","Thu Mar 23 17:25:55 GMT 2023","Thu Mar 23 17:26:03 GMT 2023","8384","","Hackathon Scenario_2","","Hackathon Scenario_2","2_LOGIN_locked_out_user","2_LOGIN_locked_out_user",""
"passed","Thu Mar 23 17:25:03 GMT 2023","Thu Mar 23 17:25:17 GMT 2023","14199","","Hackathon Scenario_1","","Hackathon Scenario_1","1_LOGIN_valid_user","1_LOGIN_valid_user",""
