"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 24 02:20:24 GMT 2023","Fri Mar 24 02:20:36 GMT 2023","12820","","Hackathon Scenario_1","","Hackathon Scenario_1","1_LOGIN_valid_user","1_LOGIN_valid_user",""
"passed","Fri Mar 24 02:23:25 GMT 2023","Fri Mar 24 02:23:37 GMT 2023","12163","","Hackathon Scenario_3","","Hackathon Scenario_3","3_LOGIN_invalid_user","3_LOGIN_invalid_user",""
"broken","Fri Mar 24 02:24:57 GMT 2023","Fri Mar 24 02:25:08 GMT 2023","10793","","Hackathon Scenario_4","","Hackathon Scenario_4","4_PRODUCT_onesie","4_PRODUCT_onesie",""
"passed","Fri Mar 24 02:21:55 GMT 2023","Fri Mar 24 02:22:05 GMT 2023","9492","","Hackathon Scenario_2","","Hackathon Scenario_2","2_LOGIN_locked_out_user","2_LOGIN_locked_out_user",""
