"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 21 21:28:12 GMT 2023","Tue Mar 21 21:28:20 GMT 2023","7891","","Hackathon Scenario_2","","Hackathon Scenario_2","2_LOGIN_locked_out_user","2_LOGIN_locked_out_user",""
"passed","Tue Mar 21 21:28:49 GMT 2023","Tue Mar 21 21:29:00 GMT 2023","10992","","Hackathon Scenario_3","","Hackathon Scenario_3","3_LOGIN_invalid_user","3_LOGIN_invalid_user",""
"broken","Tue Mar 21 21:29:30 GMT 2023","Tue Mar 21 21:30:30 GMT 2023","60003","","Hackathon Scenario_4","","Hackathon Scenario_4","4_PRODUCT_onesie","4_PRODUCT_onesie",""
"passed","Tue Mar 21 21:27:29 GMT 2023","Tue Mar 21 21:27:41 GMT 2023","12501","","Hackathon Scenario_1","","Hackathon Scenario_1","1_LOGIN_valid_user","1_LOGIN_valid_user",""
