"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 02 03:20:13 GMT 2023","Tue May 02 03:20:32 GMT 2023","18721","","Hackathon Scenario_4","","Hackathon Scenario_4","4_PRODUCT_onesie","4_PRODUCT_onesie",""
"passed","Tue May 02 03:20:25 GMT 2023","Tue May 02 03:20:45 GMT 2023","19881","","Hackathon Scenario_4","","Hackathon Scenario_4","4_PRODUCT_onesie","4_PRODUCT_onesie",""
